"seqnames","start","end","width","strand","score","gene","peak","zscore","pvalue","nearest_gene","distance_to_linked_gene","nearest_was_right","nearest_testable_gene","nearest_testable_was_right"
"chr1",897467,1000172,102706,"*",0.0785022884104078,"HES4","chr1-897294-897639",1.79017402879758,0.0367129694236243,"SAMD11",102705.5,FALSE,"HES4",TRUE
"chr1",955627,1000172,44546,"*",0.074295909818763,"HES4","chr1-955330-955923",1.84339554541111,0.032635640002982,"NOC2L",44545.5,FALSE,"HES4",TRUE
"chr1",993719,1000172,6454,"*",0.111515258280249,"HES4","chr1-993421-994016",3.17746393796304,0.000742845825183836,"HES4",6453.5,TRUE,"HES4",TRUE
"chr1",1000172,1000767,596,"*",0.178410287377153,"HES4","chr1-994735-1006799",4.72304911200146,1.16167357351646e-06,"ISG15",595,FALSE,"ISG15",FALSE
"chr1",1000172,1009337,9166,"*",0.0789516477213404,"HES4","chr1-1008916-1009757",1.71568612159902,0.0431097531227894,"ISG15",9164.5,FALSE,"ISG15",FALSE
"chr1",1000767,1001138,372,"*",0.070112342828288,"ISG15","chr1-994735-1006799",2.76057574896323,0.00288497878424364,"ISG15",371,TRUE,"ISG15",TRUE
"chr1",1001138,1069123,67986,"*",-0.0614273037399502,"ISG15","chr1-1065473-1072772",-1.82160173727904,0.0342577185740677,"RNF223",67984.5,FALSE,"C1orf159",FALSE
"chr1",1001138,1143821,142684,"*",-0.066509271006707,"ISG15","chr1-1140810-1146832",-2.22093149155382,0.0131778009441248,"C1orf159",142683,FALSE,"C1orf159",FALSE
"chr1",1168975,1214138,45164,"*",0.0500423036940929,"TNFRSF4","chr1-1165365-1172585",2.48387178751502,0.0064981295368548,"TTLL10",45163,FALSE,"TNFRSF18",FALSE
"chr1",1173797,1206691,32895,"*",0.0676823708034905,"TNFRSF18","chr1-1173115-1174478",2.79866506331391,0.0025657167267025,"TTLL10",32894.5,FALSE,"TNFRSF18",TRUE
"chr1",1173797,1214138,40342,"*",0.0771357615847252,"TNFRSF4","chr1-1173115-1174478",3.43911251126714,0.000291812311025765,"TTLL10",40341.5,FALSE,"TNFRSF18",FALSE
"chr1",1199503,1206691,7189,"*",0.095414920800898,"TNFRSF18","chr1-1197018-1201988",4.96977323253805,3.35156253102851e-07,"TNFRSF18",7188,TRUE,"TNFRSF18",TRUE
"chr1",1199503,1214138,14636,"*",0.0797678969791916,"TNFRSF4","chr1-1197018-1201988",3.64558897661741,0.000133390043871541,"TNFRSF18",14635,FALSE,"TNFRSF18",FALSE
"chr1",1206176,1206691,516,"*",0.124970407148479,"TNFRSF18","chr1-1202681-1209670",5.45863200945336,2.39908526830878e-08,"TNFRSF18",515.5,TRUE,"TNFRSF18",TRUE
"chr1",1206176,1214138,7963,"*",0.118694786058988,"TNFRSF4","chr1-1202681-1209670",5.47192861731211,2.22582076070907e-08,"TNFRSF18",7962.5,FALSE,"TNFRSF18",FALSE
"chr1",1206691,1215150,8460,"*",0.190814570686993,"TNFRSF18","chr1-1210271-1220028",8.84834802784213,4.44121417520184e-19,"TNFRSF4",8458.5,FALSE,"TNFRSF4",FALSE
